id,etiqueta,necesita_diff,segundos
f3-0001,fix,0,0.0
f3-0002,fix,0,0.0
f3-0003,feat,0,0.0
f3-0004,docs,0,0.0
f3-0005,docs,0,0.0
f3-0006,fix,0,0.0
f3-0007,fix,0,0.0
f3-0008,refactor,0,0.0
f3-0009,refactor,0,0.0
f3-0010,docs,0,0.0
f3-0011,feat,0,0.0
f3-0012,docs,0,0.0
f3-0013,ninguna,0,0.0
f3-0014,feat,0,0.0
f3-0015,ninguna,0,0.0
f3-0016,ninguna,0,0.0
f3-0017,refactor,1,0.0
f3-0018,feat,0,0.0
f3-0019,feat,0,0.0
f3-0020,ninguna,0,0.0
f3-0021,feat,0,0.0
f3-0022,fix,0,0.0
f3-0023,docs,0,0.0
f3-0024,fix,1,0.0
f3-0025,refactor,0,0.0
f3-0026,docs,0,0.0
f3-0027,docs,0,0.0
f3-0028,mixto,1,0.0
f3-0029,ninguna,0,0.0
f3-0030,refactor,1,0.0
f3-0031,fix,0,0.0
f3-0032,fix,0,0.0
f3-0033,docs,0,0.0
f3-0034,feat,0,0.0
f3-0035,ninguna,0,0.0
f3-0036,fix,0,0.0
f3-0037,docs,0,0.0
f3-0038,feat,0,0.0
f3-0039,fix,0,0.0
f3-0040,refactor,0,0.0
f3-0041,ninguna,0,0.0
f3-0042,docs,0,0.0
f3-0043,ninguna,0,0.0
f3-0044,docs,0,0.0
f3-0045,fix,0,0.0
f3-0046,docs,0,0.0
f3-0047,ninguna,1,0.0
f3-0048,ninguna,0,0.0
f3-0049,docs,0,0.0
f3-0050,docs,0,0.0
f3-0051,fix,0,0.0
f3-0052,refactor,0,0.0
f3-0053,feat,0,0.0
f3-0054,docs,0,0.0
f3-0055,feat,0,0.0
f3-0056,docs,0,0.0
f3-0057,refactor,0,0.0
f3-0058,fix,0,0.0
f3-0059,ninguna,0,0.0
f3-0060,docs,0,0.0
f3-0061,ninguna,0,0.0
f3-0062,docs,0,0.0
f3-0063,docs,0,0.0
f3-0064,docs,0,0.0
f3-0065,fix,0,0.0
f3-0066,docs,0,0.0
f3-0067,refactor,0,0.0
f3-0068,feat,0,0.0
f3-0069,fix,0,0.0
f3-0070,feat,0,0.0
f3-0071,feat,0,0.0
f3-0072,fix,0,0.0
f3-0073,ninguna,0,0.0
f3-0074,docs,0,0.0
f3-0075,docs,0,0.0
f3-0076,docs,0,0.0
f3-0077,docs,0,0.0
f3-0078,ninguna,0,0.0
f3-0079,docs,1,0.0
f3-0080,refactor,0,0.0
f3-0081,ninguna,0,0.0
f3-0082,fix,1,0.0
f3-0083,mixto,1,0.0
f3-0084,feat,0,0.0
f3-0085,fix,0,0.0
f3-0086,ninguna,0,0.0
f3-0087,ninguna,0,0.0
f3-0088,refactor,0,0.0
f3-0089,fix,0,0.0
f3-0090,ninguna,0,0.0
f3-0091,feat,0,0.0
f3-0092,docs,0,0.0
f3-0093,docs,0,0.0
f3-0094,fix,0,0.0
f3-0095,ninguna,0,0.0
f3-0096,feat,0,0.0
f3-0097,docs,0,0.0
f3-0098,feat,0,0.0
f3-0099,fix,0,0.0
f3-0100,ninguna,0,0.0
f3-0101,refactor,0,0.0
f3-0102,docs,0,0.0
f3-0103,ninguna,0,0.0
f3-0104,feat,0,0.0
f3-0105,docs,0,0.0
f3-0106,fix,0,0.0
f3-0107,refactor,0,0.0
f3-0108,feat,0,0.0
f3-0109,refactor,0,0.0
f3-0110,fix,0,0.0
f3-0111,fix,0,0.0
f3-0112,feat,0,0.0
f3-0113,refactor,0,0.0
f3-0114,ninguna,0,0.0
f3-0115,refactor,0,0.0
f3-0116,docs,0,0.0
f3-0117,docs,0,0.0
f3-0118,docs,0,0.0
f3-0119,feat,0,0.0
f3-0120,refactor,0,0.0
f3-0121,refactor,0,0.0
f3-0122,docs,0,0.0
f3-0123,ninguna,0,0.0
f3-0124,docs,0,0.0
f3-0125,fix,1,0.0
f3-0126,docs,0,0.0
f3-0127,fix,0,0.0
f3-0128,refactor,0,0.0
f3-0129,feat,0,0.0
f3-0130,ninguna,0,0.0
f3-0131,feat,0,0.0
f3-0132,refactor,0,0.0
f3-0133,refactor,0,0.0
f3-0134,docs,0,0.0
f3-0135,fix,0,0.0
f3-0136,ninguna,0,0.0
f3-0137,feat,0,0.0
f3-0138,docs,0,0.0
f3-0139,feat,0,0.0
f3-0140,refactor,0,0.0
f3-0141,fix,0,0.0
f3-0142,fix,0,0.0
f3-0143,refactor,0,0.0
f3-0144,ninguna,0,0.0
f3-0145,docs,1,0.0
f3-0146,fix,0,0.0
f3-0147,ninguna,0,0.0
f3-0148,fix,0,0.0
f3-0149,fix,0,0.0
f3-0150,refactor,0,0.0
f3-0151,feat,0,0.0
f3-0152,refactor,1,0.0
f3-0153,fix,0,0.0
f3-0154,ninguna,0,0.0
f3-0155,refactor,0,0.0
f3-0156,docs,0,0.0
f3-0157,feat,0,0.0
f3-0158,refactor,0,0.0
f3-0159,refactor,1,0.0
f3-0160,fix,0,0.0
f3-0161,fix,0,0.0
f3-0162,fix,0,0.0
f3-0163,feat,0,0.0
f3-0164,refactor,0,0.0
f3-0165,docs,0,0.0
f3-0166,refactor,0,0.0
f3-0167,feat,0,0.0
f3-0168,refactor,0,0.0
f3-0169,ninguna,0,0.0
f3-0170,ninguna,0,0.0
f3-0171,fix,1,0.0
f3-0172,ninguna,0,0.0
f3-0173,fix,0,0.0
f3-0174,docs,0,0.0
f3-0175,feat,0,0.0
f3-0176,fix,0,0.0
f3-0177,docs,0,0.0
f3-0178,ninguna,0,0.0
f3-0179,docs,0,0.0
f3-0180,docs,0,0.0
f3-0181,fix,0,0.0
f3-0182,fix,0,0.0
f3-0183,fix,0,0.0
f3-0184,ninguna,0,0.0
f3-0185,ninguna,0,0.0
f3-0186,fix,0,0.0
f3-0187,ninguna,0,0.0
f3-0188,docs,0,0.0
f3-0189,fix,0,0.0
f3-0190,feat,0,0.0
f3-0191,fix,0,0.0
f3-0192,feat,0,0.0
f3-0193,refactor,0,0.0
f3-0194,feat,0,0.0
f3-0195,docs,0,0.0
f3-0196,refactor,0,0.0
f3-0197,feat,0,0.0
f3-0198,fix,0,0.0
f3-0199,refactor,1,0.0
f3-0200,fix,1,0.0
f3-0201,fix,0,0.0
f3-0202,feat,0,0.0
f3-0203,docs,0,0.0
f3-0204,refactor,0,0.0
f3-0205,fix,0,0.0
f3-0206,fix,0,0.0
f3-0207,fix,0,0.0
f3-0208,ninguna,0,0.0
f3-0209,refactor,0,0.0
f3-0210,docs,0,0.0
f3-0211,feat,0,0.0
f3-0212,fix,0,0.0
f3-0213,ninguna,0,0.0
f3-0214,feat,0,0.0
f3-0215,docs,0,0.0
f3-0216,feat,0,0.0
f3-0217,fix,0,0.0
f3-0218,refactor,0,0.0
f3-0219,feat,0,0.0
f3-0220,feat,1,0.0
f3-0221,feat,0,0.0
f3-0222,ninguna,0,0.0
f3-0223,docs,0,0.0
f3-0224,fix,0,0.0
f3-0225,ninguna,0,0.0
f3-0226,docs,0,0.0
f3-0227,ninguna,0,0.0
f3-0228,refactor,0,0.0
f3-0229,docs,0,0.0
f3-0230,fix,0,0.0
f3-0231,ninguna,0,0.0
f3-0232,docs,0,0.0
f3-0233,refactor,0,0.0
f3-0234,ninguna,0,0.0
f3-0235,feat,0,0.0
f3-0236,fix,0,0.0
f3-0237,fix,0,0.0
f3-0238,ninguna,0,0.0
f3-0239,ninguna,0,0.0
f3-0240,feat,0,0.0
f3-0241,fix,0,0.0
f3-0242,ninguna,0,0.0
f3-0243,refactor,0,0.0
f3-0244,feat,0,0.0
f3-0245,fix,0,0.0
f3-0246,docs,0,0.0
f3-0247,feat,1,0.0
f3-0248,refactor,0,0.0
f3-0249,ninguna,0,0.0
f3-0250,feat,0,0.0
f3-0251,feat,0,0.0
f3-0252,refactor,0,0.0
f3-0253,feat,0,0.0
f3-0254,refactor,0,0.0
f3-0255,fix,0,0.0
f3-0256,fix,0,0.0
f3-0257,fix,0,0.0
f3-0258,feat,0,0.0
f3-0259,ninguna,0,0.0
f3-0260,feat,0,0.0
f3-0261,feat,0,0.0
