id,estrato,repo,sha,declarada,repeticion_de
f3-0001,A,rust-lang/rustfmt,69c7dbcd5026b75dee78e4fd14fbe57ffd1d4e4e,,
f3-0002,A,rust-lang/rustfmt,96886cd67f1faa83bfb360c31c6614e1aea46bf7,,
f3-0003,A,hashicorp/hcl,ae8e4f9b5e46626425010f5e416f600a22db40fc,,
f3-0004,B,vitejs/vite,3d3c0b843559d3985d57bf3d939a71aa97d5883f,docs,
f3-0005,A,spf13/cobra,8f097506fc1b3b1d2834e5446c7b22feecf6a23d,,
f3-0006,B,vitest-dev/vitest,c766e5daf239f2e612f2618fd65696467fd652d3,fix,
f3-0007,A,hashicorp/hcl,71e25b33f0a5aca3ffd4da017ce75a8c824bb400,,
f3-0008,B,vitest-dev/vitest,49f34ec477c8ac70dc3487bc51ebe84d15019b47,feat,
f3-0009,B,angular/angular-cli,f03ff807b440bde880aff117ec816c07e12f6b06,refactor,
f3-0010,B,sveltejs/svelte,1681b218cf3b42757f7d0f0a7c0dc45a79fea6f0,docs,
f3-0011,A,hashicorp/hcl,2e6ea6c71ca674c58553fe70e91e7ef87405e10d,,
f3-0012,B,vitest-dev/vitest,6d64a3f6e64b4e4e7c3b50f6a3a5b932903951e7,docs,
f3-0013,A,hashicorp/hcl,c1350303b507e5d1dc0e5b4ebed11ad4cf72c86e,,
f3-0014,B,angular/angular-cli,327f649be9b3b69f57bad72af806378b87c45fac,feat,
f3-0015,A,rust-lang/rustfmt,89500fab0ed52c3260288068453dad908a5314e1,,
f3-0016,A,rust-lang/rustfmt,e780532239b391e19418707bbbc8b79c90bbb055,,
f3-0017,B,vitejs/vite,8c6cf4ae7f2935b9f85d7b66a8982c1f27fa15d0,refactor,
f3-0018,B,angular/angular-cli,7d57dd2f3e7d36cc4ed2c356f79139486790cbfa,feat,
f3-0019,A,python-poetry/poetry,c31864c25b3fe3e961e70093cf5d921cd4ebbf31,,
f3-0020,B,angular/angular-cli,81d057a37d622458f8029679fb6a52df76490195,refactor,
f3-0021,A,rust-lang/rustfmt,6a5ef17eb12e1599ac6e14e267eaa6a246488cc2,,
f3-0022,B,sveltejs/svelte,de609ec34cc0e6c5136cc056295fc175172d6a02,fix,
f3-0023,A,rust-lang/rustfmt,0332da01486508710f2a542111e40513bfb215aa,,
f3-0024,B,vitejs/vite,835249d7351242308dde429003764656a15a6b6e,refactor,
f3-0025,B,angular/angular-cli,7ffd3b303352f4909a850ebc64cd696d1925f588,refactor,
f3-0026,B,vitejs/vite,6f8a3206653127a1ca9e20880af117d3a7c4fadc,docs,
f3-0027,B,sveltejs/svelte,965afc5cccd6e3e3e284e3df08656fed0493d030,docs,
f3-0028,A,spf13/cobra,51b7cf57e102be20a09835264c9d92155d602532,,
f3-0029,A,python-poetry/poetry,92d39950567364c17537d2fe3ba454a349535620,,
f3-0030,B,angular/angular-cli,ce17094e0e335c8576b24b830e4808a0fae6a238,refactor,
f3-0031,B,angular/angular-cli,a1402d9f107c3ed09288f29c1482a3a22a03ac61,fix,
f3-0032,A,rust-lang/rustfmt,b3b6e2857ce4feeb58cdb42bffdc3c6bf825c2bc,,
f3-0033,B,nuxt/nuxt,026cf15613ff5eec61c3a5a936ebc066d253735e,docs,
f3-0034,A,spf13/cobra,fce8d8aeb08dc6afe413cc0af67a7fbb3cffec4c,,
f3-0035,A,hashicorp/hcl,1879551ff7763602dec6d4a2fc4bbc9e306e407b,,
f3-0036,A,rust-lang/rustfmt,e0e2f0db537904b0efa78a106384e62852b806f0,,
f3-0037,A,hashicorp/hcl,5c3a3da3cc8667b48f05c8e6d992e58c74a3e015,,
f3-0038,A,python-poetry/poetry,3d74ddf9b3a9bcbf655b39d26e37bee14a3559e6,,
f3-0039,B,sveltejs/svelte,3608b3c8691cf855ec2cdeb623b904d2b95eddcc,fix,
f3-0040,B,nuxt/nuxt,cc212cedc88a7a5fb834ccb50266eba68260ed92,refactor,
f3-0041,A,rust-lang/rustfmt,3adfb08afe3cb6a8c055e581dea87808464d1381,,
f3-0042,B,vitejs/vite,ff3eacfdf562d12f3f871653e05f34a7821c8894,docs,
f3-0043,B,sveltejs/svelte,16a40a8bcea44ff2ea8a062d20bc6e109bf65a22,fix,
f3-0044,B,vitest-dev/vitest,4c18df7847de6b5a9620278c7e3bf72f7bb701f8,docs,
f3-0045,B,angular/angular-cli,8e57db65186765ba61e848d727814d6004ddaf3c,fix,
f3-0046,A,spf13/cobra,1424b7b92743e634e20f611e99a495e411fa4732,,
f3-0047,A,hashicorp/hcl,3327dee5673a51b4c44c908170d0ca615d08cddb,,
f3-0048,A,hashicorp/hcl,83c32989a6aabf95603ed976fe1c5629fabe3c72,,
f3-0049,A,spf13/cobra,f9d34972c1fa7a8d3d4158ab46503a6e7a99e822,,
f3-0050,B,vitest-dev/vitest,715ec85c53e0144cb1547eea23345dab534dbfd6,fix,
f3-0051,B,nuxt/nuxt,26d0e1806183dbfb1a8d23c6d7dcf336fb74f51f,fix,
f3-0052,B,vitest-dev/vitest,efc8019f93c8ab922d2e0995792ef1335dc7b5d8,refactor,
f3-0053,B,vitejs/vite,a5c608d2a0b98fc7b121d9c5eb1a4b7238dfb74b,feat,
f3-0054,A,python-poetry/poetry,fb4628c3612beb942381deb024d0dc6924b7ee30,,
f3-0055,B,sveltejs/svelte,2ce2b7d98b66e34c794b290ac0dc7135a4a3bc2b,feat,
f3-0056,A,hashicorp/hcl,be7ce64449382fe45c058cd1253f1e762ce2dc2c,,
f3-0057,B,angular/angular-cli,6631720ec3ff4e2f15b781d9516d88314e1a5197,refactor,
f3-0058,A,python-poetry/poetry,0adbac0ff227a5de3a2111f83d571ed1935dd710,,
f3-0059,A,rust-lang/rustfmt,67edc325c6c35475593ac54d3704f474c09d059e,,
f3-0060,A,hashicorp/hcl,ebcb74e4b8f5eb39a04ab754b573057ecd6a1564,,
f3-0061,A,hashicorp/hcl,da4c96fbd52dcdccde265770b21f6e73a11f4077,,
f3-0062,A,hashicorp/hcl,cef803d9d2a7ff6fddbf696ef0ce1ec094edbd90,,
f3-0063,B,vitejs/vite,42993bb523de81120cd4450048b3e71ec2a37c2b,docs,
f3-0064,B,sveltejs/svelte,58baf80a70433a27a58bf5a642b4ccfd0c23349b,docs,
f3-0065,A,rust-lang/rustfmt,7229b26f14aaaa860b5658d7b12b91562ede0c1a,,
f3-0066,B,nuxt/nuxt,217e59ad96802e0bf0355d0c8ea9b496fb00ec0b,docs,
f3-0067,A,python-poetry/poetry,72497bcb66b5a1cc20e3aa95973c523a22b05bfa,,
f3-0068,A,hashicorp/hcl,e930f8e5febb8809b374767f94f85a88b816ba6f,,
f3-0069,A,spf13/cobra,cb9cf9469070d9291b2023105297e489189f0865,,
f3-0070,B,vitejs/vite,a6a76a7946bd4d4c68edd22eb0295f758ea48990,feat,
f3-0071,A,spf13/cobra,7cebca376187b9d853fbe0feb1f2d7799ae7c785,,
f3-0072,B,nuxt/nuxt,7cf191c1d668914904ab1126857b745754be343e,fix,
f3-0073,A,rust-lang/rustfmt,21f353a6373126035f9063780bdccb9dd191a2bb,,
f3-0074,B,vitejs/vite,6251a666555a42ae518e76af6011e9cb091e3028,fix,
f3-0075,B,nuxt/nuxt,576c34efe9a3dc48b6c965dc96b1cf26a2eea627,docs,
f3-0076,B,angular/angular-cli,49177151c8ea0d3618420b4f176f26f53477abf6,docs,
f3-0077,A,hashicorp/hcl,303be6113391cd39e05f26423d724e9bc4fb07f5,,
f3-0078,A,spf13/cobra,ed6206272dd7feec928364334e32a1055af28fe2,,
f3-0079,B,vitest-dev/vitest,8d4acb5b0784b6df805db0bcf59f37c2db8e8196,docs,
f3-0080,B,nuxt/nuxt,6329a681e41167c279b44dbcc9a4f1967b494289,refactor,
f3-0081,A,python-poetry/poetry,e2c1731f8d78488067ec84f1828840678b8118c3,,
f3-0082,A,python-poetry/poetry,9cf87a285a2d3fbb0b9fa621997b3acc3631ed24,,
f3-0083,B,sveltejs/svelte,88504ee90a4354222e6d8b0a3960fe935731c2c8,docs,
f3-0084,B,vitejs/vite,b7e0e42098dd2d42285a9d3c4f39c48a580367e7,feat,
f3-0085,B,angular/angular-cli,4cde9228df5118a6c743467c668b6b7c5fe73013,fix,
f3-0086,A,spf13/cobra,642c3c7a0edbb0242be3f380808df5474e377291,,
f3-0087,A,python-poetry/poetry,40f3c001f96249aa9d05a0ecb6b13d259af6a260,,
f3-0088,A,rust-lang/rustfmt,f62d730e5415f4bd09053ac90c8d6cd88c5489ea,,
f3-0089,B,vitejs/vite,b9871bbed57c5964b3393e798b0ef2526471d692,fix,
f3-0090,A,python-poetry/poetry,fcb47f2d120eda94d1b3a70d21dc571af5ea58ca,,
f3-0091,B,angular/angular-cli,f4875b967ae9ca5640cb27bfb37166528cab88d8,feat,
f3-0092,A,hashicorp/hcl,cec773f974919d4b041122eabb972b4dbc2452df,,
f3-0093,A,spf13/cobra,d7cfb134748502f60bc1797cd26fcc3e4eb4b927,,
f3-0094,B,nuxt/nuxt,ef39d2c9d9fa04b9c68af0b9940ab0e988769722,fix,
f3-0095,A,hashicorp/hcl,fef040699b5f60c45800f0a019c1d4cbee493c04,,
f3-0096,B,vitest-dev/vitest,68ed9dfbb66881e047bc970a6a738f0ee4124d54,feat,
f3-0097,A,spf13/cobra,471c9ac367820b3239e22f9379ad0b1f5f8a84a3,,
f3-0098,B,sveltejs/svelte,76baa078792f52df53ea302042c397cb84403f48,feat,
f3-0099,B,sveltejs/svelte,67cf3871b4fe4f0130406b6d1c1b51e26f155bb4,fix,
f3-0100,B,angular/angular-cli,c2ac8c07904dbd59f414839655058539a170814a,docs,
f3-0101,A,python-poetry/poetry,61f43e863a39b7ac989e696e0f4f2ecc4701f177,,
f3-0102,A,spf13/cobra,24bb44aac8fd4730262546161cac1cc7d2869b32,,
f3-0103,A,spf13/cobra,4b096512f336e4e469d23b8fbf596ba6c09c0838,,
f3-0104,A,hashicorp/hcl,764b0ad3c0342382ee3f20f702272c0b571e94ed,,
f3-0105,A,rust-lang/rustfmt,9c65db61bee3f4f47a8d889ea781902283c5b5bd,,
f3-0106,A,rust-lang/rustfmt,ea017d7f84e218c4a8048d2ecd9d63bbda014209,,
f3-0107,A,rust-lang/rustfmt,5d9a35050d2b77613e95dbbfa890dd6bfd832812,,
f3-0108,B,sveltejs/svelte,dfb675551413e9ac8bcaedebf736a73cecb94116,feat,
f3-0109,A,python-poetry/poetry,31465a4c5ed52df63fc114b202c04f4053f9a26a,,
f3-0110,B,vitest-dev/vitest,0bc512400ba0e42eadf3cd1a0568100b57abed05,feat,
f3-0111,A,spf13/cobra,3bd84ba55cd9056ba8380a99a88ae0cafca05cc8,,
f3-0112,B,angular/angular-cli,8e81c6aa959945716d2c58e7f870f1f2afa6d2a8,feat,
f3-0113,A,rust-lang/rustfmt,5fa2727ddeef534a7cd437f9e288c221a2cf0b6a,,
f3-0114,A,hashicorp/hcl,1bffcd38baeed86efb1ff4636e6091005d2fd1ea,,
f3-0115,B,nuxt/nuxt,ee2f568fc127834a48d8528fd035ce4d88e16db8,refactor,
f3-0116,A,spf13/cobra,ca8e3c2779b8cc6168ab6ffdf9c1f2ac65652404,,
f3-0117,A,python-poetry/poetry,cbc45909b54cd4030c1c7b50803e87fa43b210ce,,
f3-0118,A,hashicorp/hcl,74d03f3d37e6dcace46ea502da564bc59248f1f0,,
