id,prediccion,entrenado_sin
f3-0001,fix,(nada: repo ajeno)
f3-0002,refactor,(nada: repo ajeno)
f3-0003,fix,(nada: repo ajeno)
f3-0004,docs,vitejs/vite
f3-0005,docs,(nada: repo ajeno)
f3-0006,fix,vitest-dev/vitest
f3-0007,fix,(nada: repo ajeno)
f3-0008,refactor,vitest-dev/vitest
f3-0009,refactor,angular/angular-cli
f3-0010,docs,sveltejs/svelte
f3-0011,fix,(nada: repo ajeno)
f3-0012,docs,vitest-dev/vitest
f3-0013,docs,(nada: repo ajeno)
f3-0014,fix,angular/angular-cli
f3-0015,fix,(nada: repo ajeno)
f3-0016,docs,(nada: repo ajeno)
f3-0017,refactor,vitejs/vite
f3-0018,feat,angular/angular-cli
f3-0019,docs,(nada: repo ajeno)
f3-0020,refactor,angular/angular-cli
f3-0021,feat,(nada: repo ajeno)
f3-0022,fix,sveltejs/svelte
f3-0023,docs,(nada: repo ajeno)
f3-0024,refactor,vitejs/vite
f3-0025,refactor,angular/angular-cli
f3-0026,feat,vitejs/vite
f3-0027,docs,sveltejs/svelte
f3-0028,refactor,(nada: repo ajeno)
f3-0029,fix,(nada: repo ajeno)
f3-0030,fix,angular/angular-cli
f3-0031,fix,angular/angular-cli
f3-0032,fix,(nada: repo ajeno)
f3-0033,docs,nuxt/nuxt
f3-0034,feat,(nada: repo ajeno)
f3-0035,fix,(nada: repo ajeno)
f3-0036,fix,(nada: repo ajeno)
f3-0037,docs,(nada: repo ajeno)
f3-0038,feat,(nada: repo ajeno)
f3-0039,fix,sveltejs/svelte
f3-0040,refactor,nuxt/nuxt
f3-0041,docs,(nada: repo ajeno)
f3-0042,docs,vitejs/vite
f3-0043,fix,sveltejs/svelte
f3-0044,docs,vitest-dev/vitest
f3-0045,fix,angular/angular-cli
f3-0046,docs,(nada: repo ajeno)
f3-0047,refactor,(nada: repo ajeno)
f3-0048,docs,(nada: repo ajeno)
f3-0049,docs,(nada: repo ajeno)
f3-0050,docs,vitest-dev/vitest
f3-0051,fix,nuxt/nuxt
f3-0052,refactor,vitest-dev/vitest
f3-0053,feat,vitejs/vite
f3-0054,docs,(nada: repo ajeno)
f3-0055,feat,sveltejs/svelte
f3-0056,docs,(nada: repo ajeno)
f3-0057,fix,angular/angular-cli
f3-0058,fix,(nada: repo ajeno)
f3-0059,docs,(nada: repo ajeno)
f3-0060,docs,(nada: repo ajeno)
f3-0061,feat,(nada: repo ajeno)
f3-0062,docs,(nada: repo ajeno)
f3-0063,docs,vitejs/vite
f3-0064,docs,sveltejs/svelte
f3-0065,fix,(nada: repo ajeno)
f3-0066,docs,nuxt/nuxt
f3-0067,refactor,(nada: repo ajeno)
f3-0068,fix,(nada: repo ajeno)
f3-0069,fix,(nada: repo ajeno)
f3-0070,fix,vitejs/vite
f3-0071,feat,(nada: repo ajeno)
f3-0072,feat,nuxt/nuxt
f3-0073,fix,(nada: repo ajeno)
f3-0074,docs,vitejs/vite
f3-0075,docs,nuxt/nuxt
f3-0076,docs,angular/angular-cli
f3-0077,docs,(nada: repo ajeno)
f3-0078,refactor,(nada: repo ajeno)
f3-0079,feat,vitest-dev/vitest
f3-0080,feat,nuxt/nuxt
f3-0081,docs,(nada: repo ajeno)
f3-0082,fix,(nada: repo ajeno)
f3-0083,feat,sveltejs/svelte
f3-0084,feat,vitejs/vite
f3-0085,fix,angular/angular-cli
f3-0086,refactor,(nada: repo ajeno)
f3-0087,feat,(nada: repo ajeno)
f3-0088,fix,(nada: repo ajeno)
f3-0089,fix,vitejs/vite
f3-0090,fix,(nada: repo ajeno)
f3-0091,feat,angular/angular-cli
f3-0092,docs,(nada: repo ajeno)
f3-0093,docs,(nada: repo ajeno)
f3-0094,feat,nuxt/nuxt
f3-0095,docs,(nada: repo ajeno)
f3-0096,fix,vitest-dev/vitest
f3-0097,docs,(nada: repo ajeno)
f3-0098,docs,sveltejs/svelte
f3-0099,fix,sveltejs/svelte
f3-0100,docs,angular/angular-cli
f3-0101,fix,(nada: repo ajeno)
f3-0102,docs,(nada: repo ajeno)
f3-0103,refactor,(nada: repo ajeno)
f3-0104,fix,(nada: repo ajeno)
f3-0105,docs,(nada: repo ajeno)
f3-0106,feat,(nada: repo ajeno)
f3-0107,refactor,(nada: repo ajeno)
f3-0108,feat,sveltejs/svelte
f3-0109,refactor,(nada: repo ajeno)
f3-0110,fix,vitest-dev/vitest
f3-0111,fix,(nada: repo ajeno)
f3-0112,fix,angular/angular-cli
f3-0113,fix,(nada: repo ajeno)
